Model,Attribution Method,Layer,Metric,Upscale Method,Value
VGG11,_GradCAMPlusPlus,features.15,sensitivity,ERFUpsampling,0.036542412
VGG11,_GradCAMPlusPlus,features.15,infidelity,ERFUpsampling,0.03711584
VGG11,_GradCAMPlusPlus,features.15,road_combined,ERFUpsampling,0.09752053
VGG11,_GradCAMPlusPlus,features.16,sensitivity,ERFUpsampling,2.394241
VGG11,_GradCAMPlusPlus,features.16,infidelity,ERFUpsampling,0.0094276015
VGG11,_GradCAMPlusPlus,features.16,road_combined,ERFUpsampling,0.08299152
VGG11,_GradCAMPlusPlus,features.17,sensitivity,ERFUpsampling,0.041313544
VGG11,_GradCAMPlusPlus,features.17,infidelity,ERFUpsampling,0.03340864
VGG11,_GradCAMPlusPlus,features.17,road_combined,ERFUpsampling,0.09439719
VGG11,_GradCAMPlusPlus,features.18,sensitivity,ERFUpsampling,1.8018848
VGG11,_GradCAMPlusPlus,features.18,infidelity,ERFUpsampling,0.014878482
VGG11,_GradCAMPlusPlus,features.18,road_combined,ERFUpsampling,0.038613476
VGG11,_GradCAMPlusPlus,features.19,sensitivity,ERFUpsampling,0.06567441
VGG11,_GradCAMPlusPlus,features.19,infidelity,ERFUpsampling,0.02942964
VGG11,_GradCAMPlusPlus,features.19,road_combined,ERFUpsampling,0.08309764
VGG11,_GradCAMPlusPlus,features.20,sensitivity,ERFUpsampling,0.05963476
VGG11,_GradCAMPlusPlus,features.20,infidelity,ERFUpsampling,0.019913176
VGG11,_GradCAMPlusPlus,features.20,road_combined,ERFUpsampling,0.08061157
VGG11,_GradCAMPlusPlus,features.10,sensitivity,ERFUpsampling,0.0278897639364004
VGG11,_GradCAMPlusPlus,features.10,infidelity,ERFUpsampling,0.0481533110141754
VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsampling,0.1029741168022155
VGG11,_GradCAMPlusPlus,features.11,sensitivity,ERFUpsampling,2.387936353683472
VGG11,_GradCAMPlusPlus,features.11,infidelity,ERFUpsampling,0.0128974504768848
VGG11,_GradCAMPlusPlus,features.11,road_combined,ERFUpsampling,0.0556474588811397
VGG11,_GradCAMPlusPlus,features.12,sensitivity,ERFUpsampling,0.0335799977183342
VGG11,_GradCAMPlusPlus,features.12,infidelity,ERFUpsampling,0.0515258498489856
VGG11,_GradCAMPlusPlus,features.12,road_combined,ERFUpsampling,0.0780799016356468
VGG11,_GradCAMPlusPlus,features.13,sensitivity,ERFUpsampling,1.495084285736084
VGG11,_GradCAMPlusPlus,features.13,infidelity,ERFUpsampling,0.0243962351232767
VGG11,_GradCAMPlusPlus,features.13,road_combined,ERFUpsampling,0.0129296127706766
VGG11,_GradCAMPlusPlus,features.14,sensitivity,ERFUpsampling,0.0433425605297088
VGG11,_GradCAMPlusPlus,features.14,infidelity,ERFUpsampling,0.051792100071907
VGG11,_GradCAMPlusPlus,features.14,road_combined,ERFUpsampling,0.0958826839923858
VGG11,_DeepLiftShap,features.10,sensitivity,ERFUpsampling,0.07457191497087479
VGG11,_DeepLiftShap,features.10,infidelity,ERFUpsampling,0.045953311026096344
VGG11,_DeepLiftShap,features.10,road_combined,ERFUpsampling,0.20029489696025848
VGG11,_DeepLiftShap,features.11,sensitivity,ERFUpsampling,0.07666514068841934
